,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank_placing,license,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,{},112.0,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,17.0,Collection of web-scraping and crawling libraries.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python#data-loading--extraction,18.0,Collection of data-loading and -extraction libraries.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python#database-clients,18.0,Collection of database clients for python.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,18.0,"Collection of data-container, dataframe, and pandas-utility libraries.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,18.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,{},5237.0,TensorFlow is an end-to-end open source platform for machine learning.,25,False,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],547467.0,547467.0,https://pypi.org/project/tensorflow,19405219.0,20634746.0,https://anaconda.org/conda-forge/tensorflow,2020-07-15 17:39:13.415,2026-05-07 01:46:13.942,2026-08-13 12:56:08.270533,7265762.0,46.0,https://hub.docker.com/r/tensorflow/tensorflow,2026-08-13 12:56:08.270533,2914.0,2914.0,82489835.0,1.0,,,,,,,,,,,
7,Pillow,python-pillow/Pillow,image,,{},518.0,Pillow is the friendly PIL fork by Alex Clark and Contributors.,25,True,Pillow,conda-forge/pillow,,,,2474584.0,2474584.0,https://pypi.org/project/Pillow,552636999.0,553757847.0,https://anaconda.org/conda-forge/pillow,2020-07-02 12:37:30.903,2026-07-01 14:19:14.756,2026-07-01 14:19:14.756000,81821908.0,60.0,,,,,,1.0,PIL,,,,,,,,,,
8,Matplotlib,matplotlib/matplotlib,data-viz,,{},1901.0,Publication quality figures in Python.,25,True,matplotlib,conda-forge/matplotlib,,,,1914814.0,1914814.0,https://pypi.org/project/matplotlib,243574273.0,244134162.0,https://anaconda.org/conda-forge/matplotlib,2020-06-19 14:20:14.311,2026-07-28 04:12:59.218,2026-07-28 04:12:59.218000,41431806.0,84.0,,,,,,1.0,,,,,,,,,,,
9,PyTorch,pytorch/pytorch,ml-frameworks,,{},6837.0,PyTorch is an optimized tensor library for deep learning using GPUs and CPUs.,24,False,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],872199.0,872199.0,https://pypi.org/project/torch,95449310.0,95988907.0,https://anaconda.org/pytorch/pytorch,2021-09-14 15:18:07.767,2025-03-25 16:24:31.802,2025-03-25 16:24:31.802000,31836232.0,32.0,,,,,,1.0,BSD-3-Clause,,,,,,,,,,
10,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,{},3551.0,A set of python modules for machine learning and data mining.,24,False,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1369920.0,1369920.0,https://pypi.org/project/scikit-learn,234734522.0,235403445.0,https://anaconda.org/conda-forge/scikit-learn,2020-05-13 13:26:05.862,2026-06-02 15:39:39.655,2026-06-02 15:39:39.655000,50169277.0,63.0,,,,,,1.0,,,,,,,,,,,
11,transformers,huggingface/transformers,nlp,,{},4063.0,State-of-the-art Natural Language Processing for TensorFlow 2.0 and PyTorch.,24,False,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",431812.0,431812.0,https://pypi.org/project/transformers,192709895.0,192776235.0,https://anaconda.org/conda-forge/transformers,2020-07-21 09:47:14.490,2026-08-10 22:13:40.573,2026-08-10 22:13:40.573000,4842860.0,195.0,,,,,,1.0,,,,,,,,,,,
12,nltk,nltk/nltk,nlp,,{},517.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,22,False,nltk,conda-forge/nltk,,,,421947.0,421947.0,https://pypi.org/project/nltk,71135432.0,71199159.0,https://anaconda.org/conda-forge/nltk,2021-03-23 13:25:58.880,2026-08-05 19:33:12.668,2026-08-05 19:33:12.668000,4142262.0,25.0,,,,,,1.0,,,,,,,,,,,
13,Tokenizers,huggingface/tokenizers,nlp,,{},150.0,Fast State-of-the-Art Tokenizers optimized for Research and Production.,22,False,tokenizers,conda-forge/tokenizers,,,,205738.0,205738.0,https://pypi.org/project/tokenizers,252452945.0,252524474.0,https://anaconda.org/conda-forge/tokenizers,2020-07-20 15:07:28.335,2026-06-29 18:15:09.757,2026-06-29 18:15:09.757000,5221675.0,39.0,,,,,,1.0,,,,,,,,,,,
14,Plotly,plotly/plotly.py,data-viz,,{},330.0,"An interactive, browser-based graphing library for Python.",22,False,plotly,conda-forge/plotly,,,,476086.0,476086.0,https://pypi.org/project/plotly,71115362.0,71326432.0,https://anaconda.org/conda-forge/plotly,2020-05-26 16:18:32.550,2026-07-09 19:32:48.385,2026-07-09 19:32:48.385000,15769067.0,119.0,,,,,,1.0,,plotlywidget,https://www.npmjs.com/package/plotlywidget,816.0,,,,,,,
15,networkx,networkx/networkx,graph,,{},850.0,Python package for creating and manipulating complex networks.,22,False,networkx,conda-forge/networkx,,,,459364.0,459364.0,https://pypi.org/project/networkx,281875067.0,282359812.0,https://anaconda.org/conda-forge/networkx,2020-08-23 19:28:59.969,2025-12-08 17:32:15.937,2025-12-08 17:32:15.937000,34901651.0,33.0,,,,,,1.0,,,,,,,,,,,
16,Keras,keras-team/keras,ml-frameworks,,{},1551.0,Deep Learning for Python.,21,False,keras,conda-forge/keras,,https://keras.io,['tensorflow'],308236.0,308236.0,https://pypi.org/project/keras,18913229.0,18985705.0,https://anaconda.org/conda-forge/keras,2020-06-25 19:13:32.150,2026-07-30 13:59:39.561,2026-07-30 13:59:39.561000,5363262.0,52.0,,,,,,1.0,,,,,,,,,,,
17,XGBoost,dmlc/xgboost,ml-frameworks,,{},698.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",21,False,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,172876.0,172876.0,https://pypi.org/project/xgboost,48024238.0,48134681.0,https://anaconda.org/conda-forge/xgboost,2020-07-02 21:36:28.150,2026-08-11 04:29:01.557,2026-08-11 04:29:01.557000,8062342.0,44.0,,,,,,1.0,,,,,,,,,,,
18,sentence-transformers,UKPLab/sentence-transformers,nlp,,{},289.0,Sentence Embeddings using BERT / RoBERTa / XLNet.,21,False,sentence-transformers,conda-forge/sentence-transformers,,,['pytorch'],139573.0,139573.0,https://pypi.org/project/sentence-transformers,31100162.0,31129175.0,https://anaconda.org/conda-forge/sentence-transformers,2020-09-18 19:41:05.496,2026-08-08 06:21:08.279,2026-08-08 06:21:08.279000,2059923.0,50.0,,,,,,1.0,,,,,,,,,,,
